"","card1","card2","card3","card4","card5","winloss"
"173",10,7,0,0,0,"Loss"
"174",11,10,0,0,0,"Win"
"175",11,8,0,0,0,"Win"
"176",10,7,0,0,0,"Loss"
"177",2,10,0,7,0,"Win"
"178",3,9,0,10,0,"Loss"
"179",5,3,10,0,0,"Win"
"180",8,2,10,0,0,"Win"
"181",7,5,0,9,0,"Win"
"182",4,8,0,0,0,"Loss"
"183",10,4,0,8,0,"Loss"
"184",10,10,0,0,0,"Win"
"185",10,9,0,0,0,"Win"
"186",8,6,0,0,0,"Win"
"187",8,11,0,0,0,"Win"
"188",6,2,8,8,0,"Loss"
"189",10,5,0,8,0,"Loss"
"190",9,4,0,8,0,"Win"
"191",10,9,0,0,0,"Loss"
"192",11,1,5,0,0,"Loss"
"193",7,10,0,0,0,"Loss"
"194",10,2,0,3,0,"Win"
"195",3,10,0,10,0,"Loss"
"196",10,6,0,10,0,"Loss"
"197",8,10,0,0,0,"Win"
"198",2,10,0,0,0,"Win"
"199",10,10,0,0,0,"Win"
"200",5,10,0,0,0,"Loss"
"201",5,9,0,10,0,"Loss"
"202",7,10,0,0,0,"Win"
"203",10,7,0,0,0,"Push"
"204",10,10,0,0,0,"Win"
"205",10,5,0,10,0,"Loss"
"206",10,9,0,0,0,"Win"
"207",8,3,8,0,0,"Win"
"208",8,6,0,0,0,"Win"
"209",10,6,0,0,0,"Loss"
"210",3,1,10,10,0,"Loss"
"211",2,1,10,1,10,"Loss"
"212",3,2,10,0,0,"Loss"
"213",3,10,0,0,0,"Loss"
"214",11,10,0,0,0,"Win"
"215",10,2,0,10,0,"Loss"
"216",10,8,0,0,0,"Win"
"217",9,7,0,0,0,"Win"
"218",7,3,3,0,0,"Win"
"219",5,8,0,8,0,"Win"
"220",8,2,11,0,0,"Win"
"221",5,10,0,0,0,"Loss"
"222",10,2,0,0,0,"Loss"
"223",3,3,6,0,0,"Win"
"224",11,2,5,0,0,"Win"
"225",7,5,0,5,0,"Loss"
"226",10,4,0,0,0,"Loss"
"227",10,5,0,0,0,"Loss"
"228",6,8,0,2,10,"Loss"
"229",5,8,0,0,0,"Win"
"230",7,8,0,10,0,"Loss"
"231",10,2,0,5,0,"Loss"
"232",10,10,0,0,0,"Win"
"233",10,5,0,4,0,"Win"
"234",3,5,6,5,0,"Push"
"235",3,10,0,1,7,"Win"
"236",11,10,0,0,0,"Win"
"237",7,4,1,3,10,"Loss"
"238",10,10,0,0,0,"Win"
"239",5,1,7,8,0,"Win"
"240",8,2,8,0,0,"Win"
"241",10,10,0,0,0,"Win"
"242",10,7,0,0,0,"Win"
"243",2,5,3,10,0,"Win"
"244",10,5,0,5,0,"Push"
"245",10,4,0,2,10,"Loss"
"246",11,8,0,0,0,"Win"
